mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessing__geo__n_clusters,param_random_forest__max_features,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
13.139689524968466,0.05472647926405314,0.153458833694458,0.004409787877792051,45,9,"{'preprocessing__geo__n_clusters': 45, 'random_forest__max_features': 9}",-41378.05211427213,-42286.463301223936,-42949.09456853262,-42204.5366613429,643.9863243961282,1
12.998615662256876,0.04934358305206961,0.15539940198262533,0.006852823382120896,38,9,"{'preprocessing__geo__n_clusters': 38, 'random_forest__max_features': 9}",-41611.99748471811,-42505.40370029182,-43268.833510564924,-42462.078231858286,677.0939010689764,2
5.964002291361491,0.2934382128024815,0.1571643352508545,0.008526948983405364,26,4,"{'preprocessing__geo__n_clusters': 26, 'random_forest__max_features': 4}",-42051.05241532251,-42854.87172354307,-43645.51250453258,-42850.47888113272,650.9430168707925,3
11.233697811762491,0.028520508992544446,0.15317551294962564,0.005739874187028842,23,8,"{'preprocessing__geo__n_clusters': 23, 'random_forest__max_features': 8}",-42595.23417879831,-42965.035699771426,-43786.71251833928,-43115.66079896967,497.94316863151283,4
29.71590757369995,0.3471768995271432,0.1534728209177653,0.002453969329330571,41,21,"{'preprocessing__geo__n_clusters': 41, 'random_forest__max_features': 21}",-42977.50909415839,-43406.39334389504,-43937.634104069184,-43440.512180707534,392.7111575811824,5
22.406468470891316,0.195490998808296,0.17928393681844076,0.03580464070469911,31,16,"{'preprocessing__geo__n_clusters': 31, 'random_forest__max_features': 16}",-43241.62650425194,-43561.60137680028,-44298.355458573315,-43700.52777987518,442.45107437906574,6
30.138598680496216,0.2232764360967597,0.15290029843648276,0.0017622256392877233,26,22,"{'preprocessing__geo__n_clusters': 26, 'random_forest__max_features': 22}",-44646.420090916734,-44610.82858917954,-45567.694853065135,-44941.64784438713,442.9204831230849,7
15.291119575500488,0.047368601959856815,0.15058469772338867,0.0025516110827502525,13,12,"{'preprocessing__geo__n_clusters': 13, 'random_forest__max_features': 12}",-44673.90963344146,-45197.558162315254,-45978.153485235416,-45283.20709366404,535.8885523542358,8
29.93863828976949,0.121854483468615,0.1530609925587972,0.004017859668150035,24,22,"{'preprocessing__geo__n_clusters': 24, 'random_forest__max_features': 22}",-45028.26477653851,-44969.7117817776,-45871.9525210319,-45289.976359782675,412.21297286367025,9
32.16752632459005,0.4012660375367956,0.17322945594787598,0.023354836045308993,21,24,"{'preprocessing__geo__n_clusters': 21, 'random_forest__max_features': 24}",-45519.33747801844,-45464.48489102427,-46195.40796509074,-45726.41011137781,332.38676434286896,10
